,mle_fix15_phi,mle_fix15_sigma2,mle_fix15_tau2,mle_fix15_loglik,mh_fix15_phi,mh_fix15_sigma2,mh_fix15_tau2,mle_fix10_phi,mle_fix10_sigma2,mle_fix10_tau2,mle_fix10_loglik,mh_fix10_phi,mh_fix10_sigma2,mh_fix10_tau2,rmse_kf_true,rmse_mle_fix15,rmse_mh_fix15,rmse_mle_fix10,rmse_mh_fix10,rmse_obs_kf_true,rmse_obs_mle_fix15,rmse_obs_mh_fix15,rmse_obs_mle_fix10,rmse_obs_mh_fix10,rmse_pred_kf_true,rmse_pred_mle_fix15,rmse_pred_mh_fix15,rmse_pred_mle_fix10,rmse_pred_mh_fix10,rmse_sig_mle_fix10,rmse_sig_mh_fix10
0,0.8940782376396136,1.094974779780261,0.2868113216820614,-981.2845493971928,0.8814065731814397,1.291778493524831,0.0507047081163104,0.894078794336768,2.4637034595972396,0.2868026956766658,-981.284549393724,0.8799555486481578,2.928006540105589,0.0367936035430033,0.4108469610723032,0.4166627562214063,0.4412143689127871,1.2673322425796725,1.3413973295974886,0.2787317403883024,0.1667515311986718,0.0291631625460636,0.1667467260765366,0.0211883337618168,1.723911960494208,1.7211614774874726,1.7247868749272537,1.7211614645377686,1.725200766400923,0.6249949404195343,0.66475024939996
1,0.9170126409257044,0.9974723174192808,0.5577153828638542,-1000.1690597331736,0.9185719674603838,1.0398120934013046,0.5180147393979946,0.9170126313082074,2.2443139412639943,0.557714531777068,-1000.1690597332084,0.9179004383788356,2.3669534079863745,0.5009567870795403,0.4426736761223224,0.4432921451616102,0.4429377398520516,1.3219033150896788,1.3373666875675805,0.2892463079779078,0.3122921366672939,0.2868928148220331,0.3122916698494155,0.277466725901598,1.789175287470152,1.7876660147718977,1.7877682638166077,1.7876660138715894,1.787865619336652,0.6649381977644842,0.6644256812817861
2,0.9137798650997188,0.9329086153576486,0.6348143976290134,-997.6365221742432,0.915228317753652,0.9703303452233654,0.6005304177580087,0.9137793777099448,2.099050920603398,0.6348060611017003,-997.6365221735884,0.9158405166419156,2.1787727672391286,0.6045271071689254,0.4297303196558872,0.4352641265540216,0.4328645088642681,1.2256139774113752,1.2356175898631785,0.2877817886164211,0.3572337208327671,0.3342778243930852,0.3572297816787046,0.3362658104269495,1.780119827467133,1.7787996442172762,1.7788944540369838,1.7787996434628346,1.778886251018455,0.6528954980682821,0.6495779649232639
3,0.9111899217102788,1.0843989574281068,0.2626906997200151,-976.5398897823932,0.9024242220861588,1.2490024889149631,0.0670703123951915,0.9111882263320392,2.4399108388236037,0.2626809064239672,-976.539889783326,0.900203902731676,2.8899912455730763,0.0248858053684272,0.4364386212404202,0.4408359636659585,0.4581417916897868,1.3418438591252355,1.407726260644932,0.2762627118445315,0.1540629566660429,0.0389991307085606,0.1540574276470141,0.0144604568795349,1.7079899718278109,1.702589945523581,1.705371396986003,1.7025899387532084,1.7066476595711595,0.6612547153391506,0.6950691376550141
4,0.926066236846051,0.8263116364318573,0.6439293158981407,-979.3626994243896,0.9280660729052126,0.8483614245769043,0.6260514775389375,0.9260662177477248,1.8592019050265076,0.6439280551304016,-979.3626994244617,0.9280528805720496,1.9154605454200255,0.6222773840508347,0.4352815327995414,0.4416160556939077,0.4403251737826512,1.2532235397195997,1.2609203445612152,0.2776580151176722,0.3756691350798194,0.3620615768846446,0.375668554734289,0.3597593859284337,1.7169983010311805,1.7133302646509003,1.713413458388049,1.7133302644941522,1.713434764249455,0.662423988304432,0.6601655547824383
5,0.8601584521518069,0.8416548822860687,0.4508948767825931,-950.8892662825684,0.8588191723966151,0.8805059403811276,0.4127308771011923,0.860159233387688,1.8937189917057295,0.4508922321861384,-950.8892662802414,0.8536486919234502,2.0581605965643273,0.3642009357261996,0.4137151303804892,0.4132456678087163,0.4135221206857343,0.9708956347203024,0.9986758282875254,0.2625815806462348,0.2782963150203093,0.2518703831842949,0.2782955416143646,0.2222715395078439,1.6237771106607195,1.6185914375271686,1.6187263005782593,1.6185914393289982,1.619092527528252,0.6198685019517869,0.6220811741427086
6,0.887516986691624,1.0493447954667767,0.4742404222088017,-997.1864462341658,0.8815259121520107,1.1629568350563408,0.3408570786358003,0.8875165150090514,2.3610573216112467,0.47422577799867,-997.18644622972,0.8713127216363852,2.872572101778002,0.1940549466544677,0.4270600279450971,0.4276493462973514,0.4338941615812254,1.1896518662068096,1.2695602329658546,0.2873704730193817,0.267051325557634,0.1895412268498499,0.2670423465788398,0.1077038219565882,1.7773770865504743,1.77700430752008,1.7778673326642922,1.777004300766505,1.7805426175794252,0.6414745679286266,0.6702971967895333
7,0.8464195298480803,0.9814598953617506,0.3766807015182318,-969.0805988722004,0.8234815163085005,1.1691238984191918,0.1320731243493228,0.84641929974312,2.208295941454874,0.376678358082754,-969.0805988710424,0.8258210929904322,2.594914052038724,0.1539973684907216,0.4427569184125933,0.4434998963269698,0.4609578971537747,1.0356162671761913,1.1087113538530915,0.2727065081915837,0.2243477665587678,0.0779926953308014,0.2243457680355502,0.0909053015514411,1.6867439364844423,1.6804976010042636,1.6834733528363215,1.680497600181745,1.68298579896122,0.6652499906212145,0.6879269375945986
8,0.9359170562784138,0.9004308438536708,0.522702642182389,-978.6547700114436,0.9377438274628072,0.9488103392280278,0.472359156565437,0.9359173626788808,2.0259659534464496,0.5227095102398309,-978.6547700118656,0.9375006557256904,2.1344114362545716,0.4734913550269882,0.4371043514583013,0.4388195540652961,0.4374347609270588,1.3948648231680891,1.407838799297811,0.2779805712372218,0.3055674983273045,0.2732342572797912,0.305570703027889,0.2737714218572086,1.7192184474849024,1.711451141420091,1.7116874214837126,1.7114511405157118,1.711671184365836,0.658229633297699,0.6561665088021233
9,0.8974225771583156,1.1274040503516929,0.4242833577619158,-1005.4737378397552,0.8958563639908886,1.2003817804810046,0.3428081598118112,0.8974226982395779,2.536653229695926,0.4242877274446712,-1005.4737378389764,0.8970445863017391,2.6948096925026075,0.3479356727814311,0.4436170017707,0.444608095842095,0.4479601010340203,1.2922556069607614,1.3135458207551616,0.2921546954472374,0.2349883115832771,0.1880610082376861,0.2349906463983148,0.1906962051851517,1.8068655766394024,1.8061847471394965,1.8065977039846517,1.8061847483509537,1.8065749187258895,0.6669119784215567,0.6715768741923339
10,0.923506748059207,0.8554982195261375,0.5513311738987582,-972.5865293942468,0.9248109221106258,0.8948533299618034,0.5121984185904482,0.9235071198810196,1.9248741746704463,0.5513257538954341,-972.5865293932468,0.9239054747315364,2.0283806702086644,0.5047794041295343,0.4196684822627868,0.4217190524844631,0.4202981154433308,1.249803393953668,1.2626417989339247,0.273778786474372,0.326098646372935,0.299800629339174,0.3260960019726416,0.2951782846377395,1.6931616204545985,1.6906858734102337,1.690851249326648,1.6906858676139325,1.6908870065999846,0.6325783082089975,0.6301835407858855
11,0.8735637026307829,1.0096949135991289,0.3063315501987068,-966.276839292634,0.8628993545974611,1.1325175628820514,0.1589335551702941,0.8735642662528957,2.2718048782261073,0.3063374122128673,-966.27683929214,0.8499207247635937,2.8014698321026046,0.0122800463580895,0.4157770056249791,0.4244928018284968,0.4412334195905764,1.1433749345533442,1.2433958955474094,0.2704403203132167,0.1834927347848759,0.0941771158478331,0.1834961832909553,0.0072829653323368,1.672652396291381,1.6705266402708057,1.671859682762702,1.6705266392982852,1.6755786060077371,0.6367384536288799,0.696268561789979
12,0.8927737563059409,0.9354834719071256,0.469838912150426,-975.2997791927468,0.8793439736365367,1.101751237874453,0.2665201739875421,0.8927723961569631,2.1048264913075476,0.4698375480207732,-975.2997791919248,0.8801775286076141,2.4605735891120237,0.2759777250332296,0.4505916051227048,0.450584169011102,0.4552282423037547,1.1494885030429822,1.2016043931991416,0.2750509545416947,0.2764464125244546,0.1546698906686928,0.2764470184570045,0.1602787400440886,1.7012288895908363,1.701109286404351,1.703696032729566,1.7011093051531367,1.7034654193817178,0.6758762654415486,0.6820439554685558
